Date,Open,High,Low,Close,Volume
2009-01-04,1356.21,1390.14,1267.86,1274.24,41079.087541815
2009-01-11,1280.36,1316.44,1247.85,1311.4,87818.080586926
2009-01-18,1309.45,1402.08,1308.7,1337.24,122478.86231245
2009-01-25,1344.42,1403.21,1335.18,1354.81,119262.52433346
2009-02-01,1353.69,1361.81,1275.64,1345.34,92509.181165505
2009-02-08,1358.86,1358.86,1237.55,1244.92,138978.7876741
2009-02-15,1242.96,1312.62,1230.88,1278.72,155810.51317269
2009-02-22,1320.3,1367.12,1308.89,1343.9,121884.9679497
2009-03-01,1337.94,1411.37,1326.79,1403.76,131657.73668886
2009-03-08,1428.48,1498.41,1391.46,1465.31,140109.9537518
2009-03-15,1480.89,1502.52,1327.72,1331.5,146554.85505418
2009-03-22,1323.9,1357.51,1264.13,1307.81,132194.36496463
2009-03-29,1275.32,1286.69,1204.87,1229.44,90232.693348157
2009-04-05,1250.37,1276.9,1166.82,1166.82,65459.212535762
2009-04-12,1180.72,1209.01,1142.16,1143.66,40178.916129585
2009-04-19,1149.15,1181.79,1124.63,1130.78,65836.696854447
2009-04-26,1152.79,1173.58,1108.26,1113.68,105271.58281271
2009-05-03,1124.63,1126.77,1076.28,1093.94,67745.780900256
2009-05-10,1084.48,1107.52,1062.71,1096,65218.351802873
2009-05-17,1111.67,1137.63,1081.96,1125.37,104479.50918265
2009-05-24,1116.66,1123.51,1068.26,1118.15,105596.73407813
2009-05-31,1128.96,1130.22,1056.18,1057.3,129383.6081485
2009-06-07,1044.16,1048.16,1006.8,1013.85,76895.914993312
2009-06-14,1020.04,1032.36,1002.1,1017.9,51012.072636691
2009-06-21,1027.74,1051.85,1024.29,1031.1,55682.797641249
2009-06-28,1039.16,1069.89,1018.79,1021.35,69619.046831735
2009-07-05,1020.98,1045.46,1008.48,1043.08,27898.450427881
2009-07-12,1049.1,1081.96,1045.27,1063.27,80141.207735378
2009-07-19,1061.96,1076.28,985.36,985.36,63742.087845194
2009-07-26,980.51,984.105,936.59,939.67,70536.376622087
2009-08-02,940.735,950.86,920.04,937.52,59576.677076331
2009-08-09,927.085,941.48,919.9,926.895,59559.518698208
2009-08-16,929.51,946.01,918.22,929.315,59802.095268909
2009-08-23,947.455,959.255,913.425,915.285,78067.403259598
2009-08-30,912.485,928.945,896.82,909.97,67733.984515297
2009-09-06,918.035,943.63,907.91,913.045,69027.940705429
2009-09-13,904.795,909.595,884.605,885.165,42674.173267989
2009-09-20,892.765,892.765,862.18,865.26,46296.521369288
2009-09-27,870.895,883.16,851.08,880.32,50489.385543147
2009-10-04,876.12,902.275,860.87,896.635,76560.897660478
2009-10-11,892.58,897.9,859.985,862.88,74971.173927467
2009-10-18,859.805,866.755,848.055,855.795,67828.999034148
2009-10-25,855.605,859.805,836.07,849.5,70055.084115763
2009-11-01,848.61,893.325,836.765,890.39,112508.1287857
2009-11-08,891.835,899.205,856.345,857.245,108566.63485133
2009-11-15,849.82,851.27,826.23,828.61,95863.8585681
2009-11-22,825.115,842.55,816.81,838.59,69460.760793559
2009-11-29,830.755,848.98,821.475,837.515,37371.162029632
2009-12-06,840.035,844.7,814.44,825.67,60907.523779425
2009-12-13,825.67,840.035,816.625,824.925,52188.064977233
2009-12-20,819.1,831.265,814.06,817,36505.950812826
2009-12-27,812.94,812.94,789.21,789.535,25630.75627932
2010-01-03,786.645,792.665,783.525,792.665,44630.013894181
2010-01-10,782.775,789.73,778.72,778.72,93128.384135986
2010-01-17,777.605,795.88,777.415,789.73,57900.303533803
2010-01-24,787.765,821.285,776.105,819.285,48711.134130519
2010-01-31,814.81,847.495,805.86,843.955,108308.83022005
2010-02-07,842.55,856.675,821.475,841.06,156421.13695411
2010-02-14,841.06,846.19,821.855,823.48,121930.65213145
2010-02-21,818.07,821.855,800.31,804.04,55003.969306794
2010-02-28,800.125,821.475,799.93,804.23,55010.40369859
2010-03-07,800.825,801.145,773.92,775.035,79173.904168746
2010-03-14,774.295,775.22,757.225,759.605,57184.799166112
2010-03-21,761.79,766.645,749.07,756.525,38232.512611361
