Date,Open,High,Low,Close,Volume
2006-06-25,0.997882,0.998232,0.950188,0.961889,18934713
2006-07-02,0.964863,1.00508,0.921925,0.987918,43743361
2006-07-09,0.995549,1.00027,0.927774,0.933577,22704642
2006-07-16,0.942204,0.945924,0.840958,0.849882,75333913
2006-07-23,0.856774,0.889745,0.8301,0.834067,85258708
2006-07-30,0.840809,0.900803,0.840809,0.900803,80965983
2006-08-06,0.894208,0.923016,0.858756,0.890836,79920560
2006-08-13,0.884689,0.905315,0.860145,0.871054,113739250
2006-08-20,0.881762,0.988762,0.876904,0.973737,136489621
2006-08-27,0.957822,0.977555,0.933874,0.953261,86604532
2006-09-03,0.950483,0.994815,0.945924,0.989355,95640713
2006-09-10,0.990546,1.0087,0.951823,0.968829,87663098
2006-09-17,0.954896,1.11638,0.949095,1.04057,101423119
2006-09-24,1.0427,1.06879,1.01034,1.02608,127590669
2006-10-01,1.03775,1.08068,1.01783,1.06532,119906976
2006-10-08,1.06053,1.11119,1.02345,1.1029,116123987
2006-10-15,1.10225,1.1617,1.08565,1.15619,102324724
2006-10-22,1.15897,1.16706,1.11044,1.13234,150831154
2006-10-29,1.12402,1.1803,1.12288,1.14078,155999281
2006-11-05,1.13924,1.17063,1.10716,1.12402,170014146
2006-11-12,1.13571,1.19979,1.13383,1.18501,165486295
2006-11-19,1.18378,1.25848,1.18105,1.25254,154326613
2006-11-26,1.24242,1.2821,1.23693,1.26869,83546735
2006-12-03,1.25615,1.2669,1.18996,1.21465,245498320
2006-12-10,1.21933,1.25986,1.19914,1.22376,174215282
2006-12-17,1.21898,1.27266,1.20326,1.25482,197233662
2006-12-24,1.26374,1.27178,1.16874,1.17171,225557412
2006-12-31,1.16874,1.20361,1.16449,1.17805,84565987
2007-01-07,1.20297,1.23295,1.14003,1.20643,156214925
2007-01-14,1.21684,1.29845,1.19949,1.29556,215495398
2007-01-21,1.29556,1.30018,1.21316,1.22327,226439461
2007-01-28,1.23002,1.24242,1.17781,1.18823,277559430
2007-02-04,1.18699,1.23718,1.1793,1.22501,246530615
2007-02-11,1.22112,1.25282,1.19243,1.20573,229993828
2007-02-18,1.20475,1.25878,1.19071,1.25482,182898638
2007-02-25,1.24896,1.29596,1.23449,1.27946,171327417
2007-03-04,1.29235,1.29235,1.11044,1.11746,515561288
2007-03-11,1.10473,1.16587,1.101,1.14891,481601104
2007-03-18,1.14187,1.16245,1.09951,1.13909,447370851
2007-03-25,1.15148,1.22466,1.14465,1.20326,376126450
2007-04-01,1.20672,1.21714,1.15041,1.17731,414643488
2007-04-08,1.1813,1.22897,1.16076,1.227,228489325
2007-04-15,1.23568,1.23568,1.19243,1.23071,273432612
2007-04-22,1.23945,1.2823,1.23201,1.27237,250351717
2007-04-29,1.27237,1.33932,1.26484,1.33563,306481060
2007-05-06,1.3277,1.35021,1.2821,1.33882,292100907
2007-05-13,1.33712,1.35383,1.30277,1.34208,319626293
2007-05-20,1.34258,1.34789,1.29235,1.33513,350072579
2007-05-27,1.33747,1.37317,1.29369,1.31939,352702445
2007-06-03,1.3231,1.39175,1.3122,1.37565,250573009
2007-06-10,1.36508,1.38433,1.29904,1.34029,486294750
2007-06-17,1.34059,1.39633,1.3145,1.39185,343873373
2007-06-24,1.39498,1.3987,1.3511,1.36226,382327631
2007-07-01,1.36423,1.39375,1.3282,1.38294,490891602
2007-07-08,1.38324,1.45127,1.38175,1.45017,221784056
2007-07-15,1.44937,1.51349,1.41717,1.51152,312777463
2007-07-22,1.50839,1.5538,1.49266,1.52043,355549027
2007-07-29,1.52523,1.53097,1.38819,1.38819,772271577
2007-08-05,1.40604,1.44887,1.33334,1.35468,1071573116
2007-08-12,1.3578,1.44804,1.30797,1.34193,1023671213
2007-08-19,1.36894,1.37763,1.18303,1.2821,1120581967
2007-08-26,1.29621,1.39265,1.27237,1.39185,629553101
2007-09-02,1.38245,1.4364,1.30598,1.42359,738171084
2007-09-09,1.43182,1.49103,1.36969,1.39165,626941671
2007-09-16,1.40835,1.44952,1.36191,1.43728,645985045
2007-09-23,1.42587,1.51978,1.40425,1.50406,596416283
2007-09-30,1.51266,1.58489,1.5052,1.57135,456690360
2007-10-07,1.57383,1.65792,1.56331,1.65792,441717281
2007-10-14,1.65099,1.72138,1.61672,1.69694,607636744
2007-10-21,1.69793,1.71493,1.62084,1.62603,858652966
2007-10-28,1.60174,1.73128,1.59726,1.70934,1264718549
2007-11-04,1.72734,1.78447,1.69001,1.7453,1158800993
2007-11-11,1.72307,1.75658,1.46107,1.46316,1573221790
2007-11-18,1.4576,1.54482,1.38394,1.47864,1517521966
2007-11-25,1.46157,1.50233,1.39037,1.44158,1333418601
2007-12-02,1.46092,1.61151,1.39185,1.53345,1753677456
2007-12-09,1.51597,1.60644,1.47408,1.58836,1283104042
2007-12-16,1.59109,1.61961,1.50044,1.50331,1435661339
2007-12-23,1.49662,1.56122,1.3991,1.56122,1616755772
2007-12-30,1.5558,1.60149,1.52922,1.54696,530458323
2008-01-06,1.53068,1.5488,1.34029,1.3507,1608235031
2008-01-13,1.35149,1.36835,1.24262,1.27698,4610119947
2008-01-20,1.30142,1.32261,1.15877,1.1738,4137855299
2008-01-27,1.04927,1.20197,0.987619,1.10195,4700775255
2008-02-03,1.10488,1.19964,1.08525,1.18625,3864668995
2008-02-10,1.18501,1.18699,1.01213,1.07909,3693113861
2008-02-17,1.09309,1.14417,1.07321,1.09432,2958094284
2008-02-24,1.11966,1.12353,1.03865,1.08665,2650246051
2008-03-02,1.08023,1.12333,1.04012,1.05209,3290894435
2008-03-09,1.04329,1.07136,0.968829,0.998332,4753228470
2008-03-16,0.998332,1.06372,0.958367,0.999671,5334705172
2008-03-23,0.95921,1.06937,0.949095,1.03408,4055617333
2008-03-30,1.05352,1.13954,1.05288,1.06612,3331148045
2008-04-06,1.0671,1.20138,1.06023,1.17626,3210310169
2008-04-13,1.18971,1.20426,1.08808,1.09872,3920078645
2008-04-20,1.09264,1.22675,1.06572,1.21336,4580923796
2008-04-27,1.2097,1.27088,1.1746,1.23668,3779752763
2008-05-04,1.24311,1.34377,1.23022,1.3294,4189896033
2008-05-11,1.31929,1.34555,1.27227,1.28971,4621478509
2008-05-18,1.29349,1.39087,1.28913,1.38656,4283648460
2008-05-25,1.3878,1.41085,1.26574,1.28605,4774381465
2008-06-01,1.29121,1.39498,1.29071,1.38492,3314141246
2008-06-08,1.37689,1.41647,1.30957,1.31839,5191904761
2008-06-15,1.33066,1.33463,1.21714,1.28788,4805620606
2008-06-22,1.27633,1.32541,1.22675,1.24287,4676630003
2008-06-29,1.24838,1.26671,1.10965,1.14901,5532494127
2008-07-06,1.13725,1.16736,1.07394,1.08966,4101826237
2008-07-13,1.11292,1.16046,1.05114,1.0863,6851220507
2008-07-20,1.11425,1.14648,1.02454,1.09797,6284631125
2008-07-27,1.10598,1.14812,1.05054,1.11377,5057848787
2008-08-03,1.11746,1.15744,1.06497,1.10026,4978853717
2008-08-10,1.09704,1.22062,1.0678,1.21217,4325817691
2008-08-17,1.21415,1.27882,1.20573,1.26434,4685877444
2008-08-24,1.26434,1.26574,1.16587,1.21824,4268532472
2008-08-31,1.20361,1.2092,1.14048,1.14916,4084345037
2008-09-07,1.18724,1.197,0.988562,1.02524,5869377356
2008-09-14,1.04975,1.05456,0.958072,1.02828,6218315480
2008-09-21,0.96977,1.02544,0.836841,0.969425,9675232928
2008-09-28,0.977159,0.980283,0.863318,0.899861,7122163564
2008-10-05,0.866442,0.872739,0.680411,0.684875,10911391701
2008-10-12,0.651852,0.655967,0.446138,0.509801,21636074489
2008-10-19,0.556805,0.665985,0.432701,0.523435,20013065749
2008-10-26,0.543021,0.55864,0.390904,0.43746,15399699071
2008-11-02,0.424916,0.552391,0.403448,0.532311,15961971370
2008-11-09,0.531715,0.570738,0.453378,0.475836,11605271166
2008-11-16,0.500331,0.501074,0.362592,0.406769,16928067197
2008-11-23,0.393333,0.414305,0.301805,0.340527,22858973891
2008-11-30,0.354807,0.41138,0.348957,0.404688,10412284992
2008-12-07,0.38768,0.397052,0.34147,0.393483,15925667883
2008-12-14,0.410933,0.446435,0.380441,0.413065,12602074956
2008-12-21,0.4149,0.439544,0.386935,0.416735,9381091408
2008-12-28,0.417974,0.41996,0.386144,0.396855,3820031859
2009-01-04,0.399133,0.451195,0.378805,0.447822,4856097340
2009-01-11,0.443064,0.46602,0.417182,0.421247,8992169117
2009-01-18,0.42214,0.422884,0.366262,0.401811,10096504975
2009-01-25,0.398091,0.401662,0.36185,0.384606,8537718421
2009-02-01,0.387234,0.432403,0.381533,0.38768,9778555270
2009-02-08,0.380441,0.455954,0.379995,0.451344,11180305363
2009-02-15,0.452583,0.460865,0.402803,0.423975,12342975808
2009-02-22,0.397646,0.403299,0.368839,0.38059,10139053467
2009-03-01,0.385697,0.387829,0.341618,0.344693,13878048857
2009-03-08,0.334727,0.348511,0.29997,0.3142,13599064942
2009-03-15,0.308103,0.375136,0.297788,0.372855,13053076824
2009-03-22,0.376376,0.409993,0.357683,0.384459,11320287717
2009-03-29,0.402257,0.443855,0.395514,0.425809,11101238645
2009-04-05,0.41153,0.469392,0.393483,0.468648,10609298930
2009-04-12,0.456998,0.486397,0.43543,0.484415,7146640874
2009-04-19,0.479853,0.500182,0.45308,0.493786,7929385846
2009-04-26,0.476284,0.511932,0.457639,0.505635,8471357362
2009-05-03,0.496513,0.541334,0.495025,0.524972,7686505838
2009-05-10,0.535088,0.55487,0.509948,0.521104,7595375468
2009-05-17,0.50628,0.534889,0.482382,0.492397,6361174348
2009-05-24,0.500331,0.543814,0.491306,0.497405,5486115791
2009-05-31,0.487339,0.553631,0.487192,0.55254,5153196805
2009-06-07,0.564439,0.606883,0.560968,0.597659,6649656731
2009-06-14,0.589529,0.611889,0.575942,0.593347,5625535922
2009-06-21,0.581694,0.584075,0.554225,0.576986,5610236031
2009-06-28,0.566275,0.587346,0.533848,0.583876,5281531862
2009-07-05,0.585462,0.598551,0.555614,0.558935,3529996874
2009-07-12,0.552242,0.556805,0.518527,0.537268,4650579819
2009-07-19,0.538459,0.620369,0.523584,0.619277,3811003592
2009-07-26,0.62607,0.684875,0.621854,0.679172,4871928901
2009-08-02,0.679072,0.708673,0.663852,0.682246,4619951281
2009-08-09,0.698311,0.708673,0.6758,0.696328,4214939155
2009-08-16,0.692412,0.709069,0.668958,0.688295,3753790916
2009-08-23,0.666577,0.713085,0.647836,0.709269,3330426580
2009-08-30,0.712887,0.738324,0.688593,0.715614,3691586067
2009-09-06,0.705103,0.720671,0.666181,0.711004,3605856434
2009-09-13,0.722655,0.756371,0.715416,0.752453,2294438289
2009-09-20,0.742438,0.794847,0.741843,0.788946,3060629780
2009-09-27,0.780318,0.815324,0.75652,0.760585,3256942527
2009-10-04,0.768865,0.795195,0.724045,0.729597,3370124705
2009-10-11,0.737382,0.792615,0.728158,0.786864,2873830308
2009-10-18,0.794201,0.81468,0.780616,0.798863,2569344571
2009-10-25,0.799953,0.836841,0.791524,0.811954,3420022541
2009-11-01,0.812447,0.834859,0.728803,0.730042,4851597683
2009-11-08,0.73168,0.790732,0.718836,0.788946,3830594678
2009-11-15,0.800548,0.847503,0.799459,0.841801,2928889324
2009-11-22,0.848891,0.866292,0.813044,0.820083,2789085099
2009-11-29,0.834711,0.853848,0.798118,0.821274,1711328877
2009-12-06,0.817157,0.867037,0.806398,0.843883,2721061206
2009-12-13,0.842296,0.861482,0.811954,0.844278,2319930623
2009-12-20,0.855585,0.8657,0.829901,0.858657,1719632151
2009-12-27,0.867187,0.918256,0.867187,0.917957,1167719081
2010-01-03,0.922273,0.9308,0.906206,0.910323,1039541679
2010-01-10,0.930999,0.940567,0.915083,0.940171,1782682318
2010-01-17,0.942947,0.944286,0.899366,0.912207,2570738784
2010-01-24,0.915678,0.9428,0.839817,0.844925,2970797250
2010-01-31,0.853403,0.872343,0.785823,0.791871,3716706799
2010-02-07,0.796136,0.835752,0.76604,0.796631,3539782788
2010-02-14,0.795788,0.830742,0.784981,0.826777,3271962236
2010-02-21,0.837736,0.875516,0.829701,0.866541,1434740308
2010-02-28,0.874474,0.874624,0.828216,0.86446,2198850512
2010-03-07,0.870905,0.93204,0.870905,0.928519,1946990305
2010-03-14,0.930205,0.97225,0.927329,0.966695,1995245846
2010-03-21,0.96179,0.992181,0.948104,0.973541,1886974103
2010-03-28,0.965757,1.01887,0.963673,0.994815,2007833496
2010-04-04,1.00403,1.02265,0.984844,1.00057,1346043515
2010-04-11,1.00428,1.03706,0.999521,1.03592,1813245002
2010-04-18,1.03765,1.08545,1.02937,1.05713,2400789901
2010-04-25,1.04942,1.101,1.03002,1.09892,2891543558
2010-05-02,1.09966,1.10488,1.03254,1.04379,3114833733
2010-05-09,1.05084,1.08193,0.736786,0.886425,4515292361
2010-05-16,0.96169,1.01783,0.918554,0.941807,3000769417
2010-05-23,0.945725,0.966845,0.805953,0.857221,4311025185
2010-05-30,0.856078,0.899762,0.795788,0.884443,3374136803
2010-06-06,0.879285,0.930354,0.857071,0.865203,2544021760
2010-06-13,0.872739,0.879285,0.806398,0.877152,2690902470
2010-06-20,0.893762,0.952814,0.874723,0.940765,1994051321
2010-06-27,0.963175,0.96635,0.858657,0.870905,2545144993
2010-07-04,0.871898,0.881465,0.739859,0.765396,3016216824
